hotel_name,address,dis_to_center_km,closest_metro_station,dis_to_closest_station_m,walk_time_to_closest_station_min,rating,stars
Отель Андрон на площади Ильича,"Москва, пер. Съезжинский, д. 8, ст. 1",3.4,Площадь,521.0,6,8.5,3
Мини-отель La Maison Residence,"Москва, ул. Большая Дмитровка, д. 13, этаж 3",1.0,Театральная,464.0,6,9.3,4
Отель Минима Белорусская,"Москва, ул. Лесная, д. 20, стр. 2",3.3,Менделеевская,552.0,7,8.9,3
"Отель
								Верона","Москва, ул. Генерала Тюленева, д. 12, стр.
								1",17.4,Теплый,1100.0,14,8.5,3
Гостиница Винтерфелл на Третьяковской,"Москва, ул. Малая Ордынка, д. 24",2.0,Полянка,432.0,5,8.9,nan
"Апарт-отель Наумов на Сретенке, 1","Москва, ул. Сретенка, д. 1",1.6,Сретенский,317.0,4,9.1,3
Отель Сити Комфорт,"Москва, Малый Златоустинский пер., д.
								3",1.0,Китай,262.0,3,8.7,3
"Отель
								Арбат Инн","Москва, пл. Смоленская, д. 6, стр.
								3",2.3,Смоленская,115.0,1,9.1,3
Отель Арома на Кожуховской,"Москва ул. Петра Романова, д. 7, стр. 2",6.4,Кожуховская,282.0,3,9.1,nan
"Grada Boutique
															Hotel","Москва, ул.
															Кузнецкий мост, д. 6/3, стр. 3",0.8,Театральная,243.0,3,8.9,4
"Отель Балчуг Кемпински
													Москва","Москва, Улица Балчуг 1",0.7,Новокузнецкая,693.0,8,8.9,5
ГородОтель на Казанском,"Москва, пл. Комсомольская, д. 2, 1 этаж",3.2,Комсомольская,253.0,3,8.3,nan
Гостиница Corsa Vita,"Москва, ул. 1905 года, д. 10, стр. 1",4.2,Улица,1905.0,6,8.9,3
Гостиница Ариум,"Москва, ул. Малая Дмитровка, д. 25/3",2.2,Маяковская,515.0,6,9.3,4
МИРРОС Отель Москва Кремль,"Москва, ул. Моховая, д. 10, стр. 1",0.7,Боровицкая,104.0,1,9.1,3
Отель Садовое кольцо,"Москва, пр. Мира, д. 14, здание 2",2.5,Сухаревская,310.0,4,9.3,4
Гостиница Спектр Таганская,"Москва, ул. Воронцовская, д. 20",3.0,Таганская,407.0,5,9.4,4
Отель Сансет,"Москва, ул. Генерала Антонова, д. 5, корп.
								1",13.2,Беляево,683.0,8,8.7,2
"Отель
								Эрмитаж","Москва, пер. Дурасовский, д. 7",1.9,Чкаловская,603.0,7,8.9,4
Гостиница Ренессанс Москва Монарх Центр,"Москва, пр. Ленинградский, д. 31 стр. 1",4.9,Динамо,753.0,9,9.1,5
Отель Андреевский,"Москва, ул. Павла Андреева, д. 4",3.6,Серпуховская,564.0,7,9.3,3
Отель Голден Румс,"Москва, ул. Николоямская, д. 38/23",2.6,Марксистская,687.0,8,9.1,5
Апарт-отель DIAMOND APARTMENTS,"Москва, 1-й Красногвардейский пр-д, д. 21, с. 2",5.4,Международная,103.0,1,9.4,5
Гостиница Юность,"Москва, ул. Хамовнический Вал, д. 34",5.0,Спортивная,115.0,1,8.3,3
Гостиница Z hotel,"Москва, ул. Ярославская, д. 10к2",7.7,ВДНХ,442.0,5,8.9,3
Мини-отель ShelterS Тульская,"Москва, 2 Bol'shaya Tul'skaya Ulitsa",4.9,Тульская,92.0,1,9.6,nan
ГородОтель на Киевском,"Москва, пл. Киевского вокзала, д. 1",3.5,Киевская,92.0,1,8.3,nan
Мини-отель Академик,"Москва, ул. Новочеремушкинская, д. 13",7.9,Академическая,743.0,9,9.1,nan
Гостиница Арбат,"Москва, Плотников пер., д. 12",2.1,Смоленская,521.0,6,9.3,3
Гостиница Подъезд № 2,"Москва, ул. Воронцовская, д. 21, стр. 1",3.1,Таганская,477.0,6,9.1,2
"Отель Арт Москва
															Войковская","Москва, ул.
															Космонавта Волкова, д. 6а",9.6,Войковская,1000.0,12,9.3,4
"Авторский отель
													ПАРРАДОССО","Москва, Настасьинский пер., д.8, стр.1",1.8,Чеховская,226.0,3,9.6,5
"Гостиница Винтерфелл на
												Смоленской","Москва, Шубинский пер., д. 2/3",2.6,Смоленская,314.0,4,8.5,nan
Отель Максима Славия,"Москва, Ярославское шоссе 44",13.3,Бабушкинская,2400.0,29,8.9,3
Гостиница Рогожский,"Москва, ул. Школьная, д. 14/13, стр. 5",3.4,Римская,652.0,8,8.9,3
Гостиный дом,"Москва, ул. Василия Петушкова, д. 25",16.4,Волоколамская,1600.0,19,8.3,3
Отель ВО (VO Hotel),"Москва, ул. Нагорная, д. 26, корп. 1",8.7,Нагорная,852.0,10,7.9,3
Издатель Отель Тверская,"Москва, ул. Тверская, д. 12, стр. 2",1.4,Тверская,110.0,1,8.9,3
"Отель
								Мандарин","Москва, ул. Ольховская, д. 23",3.8,Красносельская,609.0,7,8.7,4
Гостиница Царицынский комплекс,"Москва, ул. Каспийская, д. 36",15.3,Царицыно,318.0,4,8.9,2
"Отель
								Неаполь","Москва, Вознесенский пер., д. 3",1.1,Тверская,617.0,7,7.9,4
Бутик-Отель Мясницкий,"Москва, ул. Мясницкая, д. 14/2, стр. 1",1.1,Лубянка,342.0,4,8.9,4
"Хостел
								Макаров","Москва, ул. Садовническая, д. 22, стр.
								2",1.1,Новокузнецкая,424.0,5,8.3,nan
Гостиница Холидей Инн Москва Селигерская,"Москва, Коровинское шоссе 10",14.1,Селигерская,873.0,11,9.3,4
Гостиница Крокусс Москва,"Москва, Донелайтиса пр-д, д. 14",16.0,Сходненская,1900.0,23,8.1,nan
Отель Минт на Тишинке,"Москва, Средний Тишинский пер., д. 24-26, стр. 1",3.3,Белорусская,845.0,10,8.9,nan
Гостиница Винтерфелл Москва-Сити,"Москва, Мукомольный пр-д, д. 4а, стр. 1",6.0,Шелепиха,308.0,4,9.1,nan
"Отель
								Сан-Ремо","Москва, ул. Народная 20,строение 2",2.6,Таганская,369.0,4,8.7,3
Гостиница V Тверская,"Москва, Малый Палашёвский пер., д. 5",1.7,Пушкинская,150.0,2,9.6,4
Гостиница Москвич,"Москва, 11-я улица Текстильщиков, д.
								1",9.1,Текстильщики,491.0,6,8.5,2
Отель Лубянка Румс,"Москва, ул. Рождественка, д. 5/7с2",0.9,Кузнецкий,73.0,1,9.1,3
"Custos Hotel
															Lubyansky","Москва, пр-д
															Лубянский, д. 19, стр. 2",0.9,Китай,197.0,2,8.5,4
"Мини-отель Апельсин на Воробьевых
													Горах","Москва, ул. Косыгина, д. 5",6.0,Площадь,809.0,10,8.1,3
Отель Вилладжио,"Москва, ул. Пречистенка, д. 37, стр. 2",2.5,Парк,514.0,6,9.1,nan
Броско Отель Арбат,"Москва, ул. Новый Арбат, д. 21 стр. 2",2.1,Смоленская,365.0,4,9.3,4
Гостиница Кадашевская,"Москва, Кадашевская набережная, д. 26",1.0,Третьяковская,549.0,7,9.3,4
Гостиница Халва,"Москва, ул. Амурская, д. 11, стр. 2",11.7,Щелковская,1500.0,18,8.1,2
Отель Максима Панорама,"Москва, Улица Мастеркова 4",5.5,Автозаводская,260.0,3,9.1,4
Гостиница Державный,"Москва, ул. Ярославская, д. 8, корп. 2",7.4,ВДНХ,667.0,8,9.3,3
"Отель
								Юджин","Москва, ул. Фридриха Энгельса, д. 20, стр. 1",4.5,Бауманская,244.0,3,9.1,3
Гостиница На Казачьем,"Москва, Казачий 1-й пер., д. 4",2.1,Полянка,347.0,4,8.7,4
Гостиница Винтерфелл Курский вокзал,"Москва, ул. Казакова, д. 8, стр. 1",2.8,Курская,444.0,5,8.7,nan
"Хостел
								5NEBO","Москва, ул. Маросейка, д. 7/8, стр. 1",1.0,Китай,177.0,2,9.3,nan
Мини-отель Чистопрудный,"Москва, ул. Чаплыгина, д. 6",2.0,Чистые,466.0,6,9.3,2
Гостиница Звездная,"Москва, ул. Аргуновская, д. 2, кор. 1",6.6,Бутырская,1200.0,15,8.3,3
КОНЦЕРТ (KONCERT.RU™ HOTEL),"Москва, ул. Семеновский Вал, д. 6, лит. Б",6.5,Электрозаводская,631.0,8,8.1,3
Отель Формула За рулём,"Москва, 5-й проезд Подбельского, д. 4а",9.9,Бульвар,475.0,6,8.9,2
Отель Norke КАЗАНСКИЙ,"Москва, ул. Новорязанская, д. 16, корп. 1",3.3,Комсомольская,479.0,6,9.4,3
Гостиница Измайлово Брентон,"Москва, ш. Измайловское, д. 71, к. 2Б",8.9,Партизанская,172.0,2,9.1,3
Гостиница Авиамоторная,"Москва, 2-я Кабельная, д. 10",6.1,Авиамоторная,303.0,4,9.1,2
"Хостел
								Rooms","Москва, ш. Энтузиастов, д. 26",6.2,Авиамоторная,157.0,2,7.9,nan
"Отель
								Trips","Москва, Грохольский пер., д. 32, стр. 2",3.0,Комсомольская,794.0,10,8.5,2
Гостиница Валс,"Москва, ул.
															Дубининская, д. 35",3.4,Павелецкая,762.0,9,8.9,2
Гостиница Аструс Москва,"Москва, пр. Ленинский, д. 146",13.3,Юго,1100.0,13,9.1,4
Starboard Side Hotel,"Москва, ул. Большая Тульская, д. 2",5.1,Тульская,154.0,2,9.6,3
"Гостиница Panorama City
											Federation","Москва, Пресненская набережная, д. 12, 53 этаж",5.2,Международная,315.0,4,nan,4
Отель Апельсин Чистые пруды,"Москва, б-р Чистопрудный, д. 11, стр. 1",1.8,Чистые,419.0,5,9.6,3
Мини-отель Меркурий,"Москва, Коровинское ш., д. 13, корп. 2, эт. 1, пом. I, ком.
									1",14.0,Селигерская,935.0,11,9.3,nan
Гостиница Измайлово Гамма 3*,"Москва, Измайловское ш., д. 71",9.1,Партизанская,376.0,5,9.1,3
"Хостел
								Yum Yum","Москва, ул. Бауманская, д. 4",4.3,Бауманская,607.0,7,8.7,nan
Отель Ангелина на Рублевском,"Москва, ул. Истринская, д. 8, стр. 3",12.0,Кунцевская,1100.0,13,8.7,3
Отель Turris Hotel Tagansky,"Москва, Серебрянический пер., д. 15",1.9,Чкаловская,930.0,11,9.1,4
Мини-отель Апельсин на Шаболовской,"Москва, ул. Городская, д. 2",4.1,Шаболовская,650.0,8,8.7,3
Мини-отель Набат Палас,"Москва, ул. Братиславская, д. 6",13.9,Братиславская,665.0,8,9.1,4
Отель Концерт Лотос,"Москва, ул. 7-ая Парковая, д. 33к6",12.2,Щелковская,737.0,9,9.1,3
Мини-отель Апельсин на Пушкинской площади,"Москва, Страстной б-р, д. 4-3, стр. 1",1.5,Чеховская,51.0,1,8.5,3
Гостиница Измайлово Дельта,"Москва, Измайловское ш., д. 71",9.2,Партизанская,409.0,5,9.3,4
Гостиница Суворовская,"Москва, ул. Суворовская, д. 2б",6.8,Электрозаводская,717.0,9,8.9,2
Отель Воронцовский,"Москва, Воронцовский пер., д. 5/7 стр.
								2",3.3,Крестьянская,424.0,5,9.3,4
Мини-отель Апельсин Ленинский Проспект,"Москва, ул. Вавилова, д. 15",6.2,Площадь,568.0,7,8.3,3
Отель Moscow Holiday,"Москва, ул. Мневники, д. 3 стр.2",7.9,Хорошево,625.0,8,8.9,4
Отель Скайвью Сити,"Москва, Ул Большая Никитская 24/1стр 6",1.2,Арбатская,579.0,7,8.5,4
